comunas;sup AAVV m2;% AAVV x hab
BUIN;603.984,88;7,34
CALERA DE TANGO;29.946,03;2,61
CERRILLOS;1.176.964,65;14,58
CERRO NAVIA;798786,6433;6,03308618
COLINA;1.115.239,62;9,46
CONCHALÍ;417.529,30;3,3
EL BOSQUE;329.261,04;2,03
EL MONTE;1.066.194,41;3,63
ESTACIÓN CENTRAL;533.763,86;3,79
HUECHURABA;1.061.523,43;10,78
INDEPENDENCIA;155.440,97;1,55
ISLA DE MAIPO;72.272,67;2,69
LA CISTERNA;160.366,50;1,78
LA FLORIDA;1.375.949,93;3,76
LA GRANJA;848111,1207;7,29
LA PINTANA;611.122,67;3,47
LA REINA;1.296.980,73;13,99
LAMPA;555.319,97;6,88
LAS CONDES;1.375.949,93;4,87
LO BARNECHEA;1.567.804,34;15,21
LO ESPEJO;430503,4381;4,36
LO PRADO;306.691,98;3,2
MACUL;480763,0628;4,14
MAIPÚ;2.847.701,93;5,5
MELIPILLA;364.751,95;4,33
ÑUÑOA;508.452,16;2,44
PADRE HURTADO;393.787,75;7,17
PAINE;173.383,58;3,74
PEDRO AGUIRRE CERDA;530088,267;5,25
PEÑAFLOR;393.977,81;4,75
PEÑALOLÉN;1.367.424,45;5,66
PIRQUE;27.703,81;2,41
PROVIDENCIA;2.121.068,62;14,94
PUDAHUEL;1.048.199,86;4,71
PUENTE ALTO;2.492.680,23;4,41
QUILICURA;847521,6947;4,03
QUINTA NORMAL;398697,2876;3,63
RECOLETA;2.927.155,99;18,58
RENCA;680053,5675;4,58
SAN BERNARDO;1.202.249,04;4,07
SAN JOAQUÍN;462.653,80;4,9
SAN JOSÉ DE MAIPO;43.960,58;3,96
SAN MIGUEL;212.503,55;1,97
SAN RAMÓN;382752,8707;4,63
SANTIAGO;1.868.007,66;4,64
TALAGANTE;409.053,02;6,94
TILTIL;78.790,45;6,03
VITACURA;1.592.903,19;18,67
;;
;;